date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:15	60574/60574	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:53%20GMT	https://colorlib.com/polygon/octopus/index.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/index.html	(from )
14:18:15	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
14:18:15	142806/142806	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48cd4-22dd6%22	https://colorlib.com/polygon/octopus/assets/vendor/bootstrap/css/bootstrap.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/bootstrap/css/bootstrap.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:15	26763/26763	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48d34-688b%22	https://colorlib.com/polygon/octopus/assets/vendor/font-awesome/css/font-awesome.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/font-awesome/css/font-awesome.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:16	8148/8148	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48c3c-1fd4%22	https://colorlib.com/polygon/octopus/assets/vendor/magnific-popup/magnific-popup.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/magnific-popup/magnific-popup.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:16	34494/34494	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48d1e-86be%22	https://colorlib.com/polygon/octopus/assets/vendor/bootstrap-datepicker/css/datepicker3.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/bootstrap-datepicker/css/datepicker3.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:16	24696/24696	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48f43-6078%22	https://colorlib.com/polygon/octopus/assets/vendor/jquery-ui/css/ui-lightness/jquery-ui-1.10.4.custom.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/jquery-ui/css/ui-lightness/jquery-ui-1.10.4.custom.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:16	758/758	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48c60-2f6%22	https://colorlib.com/polygon/octopus/assets/vendor/bootstrap-multiselect/bootstrap-multiselect.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/bootstrap-multiselect/bootstrap-multiselect.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:17	435/435	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48c56-1b3%22	https://colorlib.com/polygon/octopus/assets/vendor/morris/morris.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/vendor/morris/morris.css	(from https://colorlib.com/polygon/octopus/index.html)
14:18:17	347044/347044	---MCZ	200	added ('OK')	text/css	etag:W/%225bc48bff-54ba4%22	https://colorlib.com/polygon/octopus/assets/stylesheets/theme.css	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/assets/stylesheets/theme.css	(from https://colorlib.com/polygon/octopus/index.html)
